City_ID,City,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
199,Vila Velha,2020-10-30 01:11:55,-20.33,-40.29,80.6,78,75,10.29,BR,moderate rain
200,Binghamton,2020-10-30 01:16:57,42.1,-75.92,44.01,93,90,10.29,US,moderate rain
201,Hirado,2020-10-30 01:16:57,33.36,129.55,69.01,52,75,13.87,JP,broken clouds
202,Palmas,2020-10-30 01:13:49,-10.21,-48.36,82.4,65,20,4.7,BR,light rain
203,Dingle,2020-10-30 01:16:57,11.0,122.67,82.11,82,100,8.59,PH,very heavy rain
204,Casper,2020-10-30 01:13:40,42.87,-106.31,53.6,37,1,9.17,US,clear sky
205,Nouna,2020-10-30 01:16:57,12.73,-3.87,75.72,22,13,1.16,BF,few clouds
206,Belmonte,2020-10-30 01:15:40,-15.86,-38.88,75.2,88,90,6.93,BR,shower rain
207,Saskylakh,2020-10-30 01:15:54,71.92,114.08,0.03,84,56,6.17,RU,broken clouds
208,Esfarayen,2020-10-30 01:16:57,37.08,57.51,37.4,40,0,0.6,IR,clear sky
209,Kerman,2020-10-30 01:16:57,30.28,57.08,37.4,29,0,6.93,IR,clear sky
210,Itarema,2020-10-30 01:15:27,-2.92,-39.92,78.08,80,70,14.74,BR,broken clouds
211,Hualmay,2020-10-30 01:13:42,-11.1,-77.61,63.09,84,99,9.62,PE,overcast clouds
212,Tual,2020-10-30 01:16:58,-5.67,132.75,83.05,73,0,9.46,ID,clear sky
213,Hulst,2020-10-30 01:16:58,51.28,4.05,57.0,92,100,3.0,NL,overcast clouds
214,Saint-Philippe,2020-10-30 01:15:14,-21.36,55.77,69.8,56,75,13.87,RE,broken clouds
215,Floriano,2020-10-30 01:16:58,-6.77,-43.02,86.05,49,100,3.47,BR,overcast clouds
216,Kotelnikovo,2020-10-30 01:16:58,47.63,43.15,52.36,80,100,14.16,RU,light rain
217,Fort Nelson,2020-10-30 01:15:00,58.81,-122.7,27.48,96,100,3.09,CA,overcast clouds
218,Santa Maria,2020-10-30 01:16:58,-29.68,-53.81,64.4,55,40,5.82,BR,scattered clouds
219,Zhezkazgan,2020-10-30 01:16:12,47.8,67.71,32.31,81,0,3.94,KZ,clear sky
220,Hofn,2020-10-30 01:15:44,64.25,-15.21,45.25,85,100,10.25,IS,light rain
221,North Platte,2020-10-30 01:16:58,41.12,-100.77,55.4,50,1,3.36,US,clear sky
222,Alyangula,2020-10-30 01:16:58,-13.85,136.42,87.8,55,100,5.82,AU,overcast clouds
223,Tasiilaq,2020-10-30 01:15:17,65.61,-37.64,37.4,59,100,21.92,GL,light rain
224,Florianopolis,2020-10-30 01:15:19,-27.61,-48.5,66.2,68,40,24.16,BR,moderate rain
225,North Bend,2020-10-30 01:16:59,43.41,-124.22,62.6,67,1,9.17,US,clear sky
226,Vostok,2020-10-30 01:16:59,46.49,135.88,31.93,100,100,2.89,RU,overcast clouds
227,Kitimat,2020-10-30 01:16:15,54.05,-128.65,38.77,82,100,3.11,CA,overcast clouds
228,Mar Del Plata,2020-10-30 01:15:26,-38.0,-57.56,50.0,70,0,2.24,AR,clear sky
229,Srednekolymsk,2020-10-30 01:15:20,67.45,153.68,5.68,94,100,0.27,RU,overcast clouds
230,Asyut,2020-10-30 01:16:59,27.18,31.18,69.8,73,0,11.41,EG,clear sky
231,Jinchang,2020-10-30 01:16:59,38.5,102.17,42.44,60,79,12.35,CN,broken clouds
232,Port-Gentil,2020-10-30 01:16:59,-0.72,8.78,77.74,80,100,1.07,GA,overcast clouds
233,Nizhneivkino,2020-10-30 01:16:59,58.19,49.52,30.13,95,48,6.58,RU,scattered clouds
234,Sitka,2020-10-30 01:15:58,57.05,-135.33,44.6,75,40,9.17,US,scattered clouds
235,Boa Vista,2020-10-30 01:17:00,2.82,-60.67,87.8,62,20,5.82,BR,moderate rain
236,Marsa Matruh,2020-10-30 01:17:00,31.35,27.25,62.6,72,0,8.5,EG,clear sky
237,Boralday,2020-10-30 01:17:00,43.36,76.86,24.8,79,20,2.24,KZ,mist
238,Grindavik,2020-10-30 01:15:53,63.84,-22.43,41.0,93,90,12.75,IS,moderate rain
239,Tuktoyaktuk,2020-10-30 01:15:13,69.45,-133.04,5.45,94,11,5.77,CA,few clouds
240,Aasiaat,2020-10-30 01:17:00,68.71,-52.87,18.18,95,100,6.26,GL,overcast clouds
241,Sur,2020-10-30 01:17:00,22.57,59.53,71.02,65,0,5.46,OM,clear sky
242,Chokurdakh,2020-10-30 01:10:47,70.63,147.92,-3.37,93,99,2.37,RU,overcast clouds
243,Caravelas,2020-10-30 01:15:13,-17.71,-39.25,76.44,84,100,10.04,BR,overcast clouds
244,Tiksi,2020-10-30 01:15:09,71.69,128.87,8.53,95,99,5.75,RU,overcast clouds
245,Olinda,2020-10-30 01:16:19,-8.01,-34.86,80.6,74,40,8.05,BR,scattered clouds
246,Anton Lizardo,2020-10-30 01:17:01,19.05,-95.98,75.99,69,40,26.4,MX,scattered clouds
247,Ayia Marina,2020-10-30 01:17:01,37.75,23.53,63.0,100,0,4.38,GR,clear sky
248,Tuatapere,2020-10-30 01:16:16,-46.13,167.68,61.0,89,100,1.99,NZ,overcast clouds
249,Clyde River,2020-10-30 01:15:36,70.47,-68.59,18.48,93,100,12.19,CA,overcast clouds
250,Olafsvik,2020-10-30 01:16:35,64.89,-23.71,42.19,86,100,15.32,IS,moderate rain
251,Ponta Do Sol,2020-10-30 01:15:30,32.67,-17.1,68.0,68,20,10.29,PT,few clouds
252,Beni Mazar,2020-10-30 01:17:01,28.5,30.8,70.29,67,100,16.84,EG,overcast clouds
253,Kavaratti,2020-10-30 01:16:11,10.57,72.64,82.71,69,0,7.02,IN,clear sky
254,Batagay,2020-10-30 01:17:01,67.63,134.63,1.92,92,100,1.48,RU,overcast clouds
255,Namibe,2020-10-30 01:16:11,-15.2,12.15,69.58,73,0,4.92,AO,clear sky
256,Martapura,2020-10-30 01:17:02,-3.42,114.85,84.11,72,98,5.41,ID,overcast clouds
257,Kodiak,2020-10-30 01:15:28,57.79,-152.41,41.0,56,1,4.7,US,clear sky
258,Miraflores,2020-10-30 01:17:02,19.22,-98.81,71.01,40,40,9.17,MX,scattered clouds
259,Sena Madureira,2020-10-30 01:17:02,-9.07,-68.66,75.51,93,46,4.18,BR,light rain
260,New Norfolk,2020-10-30 01:15:10,-42.78,147.06,66.99,54,76,1.01,AU,broken clouds
261,Nemuro,2020-10-30 01:15:32,43.32,145.57,48.2,61,40,13.87,JP,scattered clouds
262,Iqaluit,2020-10-30 01:12:45,63.75,-68.51,4.6,90,0,8.7,CA,clear sky
263,Saryg-Sep,2020-10-30 01:17:02,51.5,95.6,17.64,90,0,2.44,RU,clear sky
264,Naze,2020-10-30 01:15:56,28.37,129.48,75.2,56,75,9.17,JP,broken clouds
