City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
530,Chanthaburi,TH,82.99,light rain,12.83,102.17,Home Valley Station Garden River.
531,Mareeba,AU,89.01,clear sky,-17.0,145.43,Trinity Plains Tourist Park
533,Quang Ngai,VN,78.17,light rain,15.12,108.8,Central Hotel
535,Cabo San Lucas,MX,78.8,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
540,Kattivakkam,IN,77.0,mist,13.22,80.32,St. Joseph Thirumana mandapam
543,Natal,BR,78.8,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
548,Wanning,CN,77.43,moderate rain,18.8,110.4,Paradise Hotel
550,Bafoulabe,ML,78.21,clear sky,13.81,-10.83,
552,Mogadishu,SO,78.76,clear sky,2.04,45.34,Hotel Juba
555,Abonnema,NG,75.2,scattered clouds,4.71,6.79,Corper's Lodge Obonoma
558,Ambulu,ID,83.75,scattered clouds,-8.35,113.61,Hotel Ambulu Jember
567,Lakatoro,VU,84.2,broken clouds,-16.1,167.42,Lakatoro Palm Lodge
570,Pangkalanbuun,ID,84.33,scattered clouds,-2.68,111.62,Grand Kecubung Hotel
572,Sinnamary,GF,81.99,overcast clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
587,Papara,BR,81.0,clear sky,-3.98,-38.73,Bela vista Maranguape
592,Manokwari,ID,84.49,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
596,Kwinana,AU,78.01,overcast clouds,-32.25,115.77,Devon House
598,Sawakin,SD,83.03,scattered clouds,19.11,37.33,فندق الدويم
599,Goundam,ML,83.89,overcast clouds,16.41,-3.67,
607,Luruaco,CO,82.4,light intensity drizzle,10.61,-75.14,Hotel Mi Casa
608,Jambi,ID,76.96,overcast clouds,-1.6,103.62,ASTON Jambi Hotel & Conference Center
609,Nioro,GM,75.67,clear sky,13.35,-15.75,
611,Honiara,SB,86.0,broken clouds,-9.43,159.95,Heritage Park Hotel
612,Dubbo,AU,75.2,overcast clouds,-32.25,148.62,Comfort Inn Blue Lagoon
617,Mamburao,PH,83.97,scattered clouds,13.25,120.67,Navigator's Farm Resort
618,Bonthe,SL,78.71,few clouds,7.53,-12.51,Bonthe Holiday Village
620,Coruripe,BR,76.5,broken clouds,-10.13,-36.18,Pousada e Hotel Litoral Sul
634,Ransang,PH,84.16,clear sky,8.96,117.58,
636,Villa Del Rosario,CO,80.6,moderate rain,7.83,-72.47,Hotel Villas de San Diego
637,Ca Mau,VN,82.58,clear sky,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
